week ending date,commodity,unit,weekly exports,accumulated exports,outstanding sales,gross new sales,current marketing year net sales,current marketing year total commitment,next marketing year outstanding sales,next marketing year net sales
2025-06-05,wheat,metric tons,115709,115709,5793976,607566,388919,5909685,0,0
2025-06-12,wheat,metric tons,363538,479247,5857608,481616,427170,6336855,0,0
2025-06-19,wheat,metric tons,256335,735582,5856481,313566,255208,6592063,0,0
2025-06-26,wheat,metric tons,553547,1289129,5888923,596644,585989,7178052,0,0
2025-07-03,wheat,metric tons,447189,1736318,6009557,580725,567823,7745875,9373,9373
2025-07-10,wheat,metric tons,432925,2169243,6070995,560858,494363,8240238,9373,0
2025-07-17,wheat,metric tons,761016,2930259,6022158,763719,712179,8952417,9373,0
2025-07-24,wheat,metric tons,296736,3226995,6317541,677846,592119,9544536,47373,38000
2025-07-31,wheat,metric tons,667675,3894670,6387697,761267,737831,10282367,47373,0
2025-08-07,wheat,metric tons,340842,4235512,6769701,801023,722846,11005213,47373,0
2025-08-14,wheat,metric tons,360617,4596129,6928836,601875,519752,11524965,9373,-38000
2025-08-21,wheat,metric tons,1005561,5601690,6503069,768907,579794,12104759,9373,0
2025-08-28,wheat,metric tons,890569,6492259,5925478,399234,312978,12417737,14873,5500
2025-09-04,wheat,metric tons,356461,6848720,5874368,327228,305351,12723088,14873,0
2025-09-11,wheat,metric tons,774833,7623553,5476994,444150,377459,13100547,24873,10000
2025-09-18,wheat,metric tons,895964,8519517,5120872,570171,539842,13640389,24873,0
2025-09-25,wheat,metric tons,873330,9392847,4563417,332105,315875,13956264,24873,0
2025-10-02,wheat,metric tons,615928,10008775,4835353,921156,887864,14844128,24873,0
2025-10-09,wheat,metric tons,388306,10397081,5060946,683143,613899,15458027,24873,0
2025-10-16,wheat,metric tons,596619,10993700,4805633,381947,341306,15799333,24873,0
2025-10-23,wheat,metric tons,280913,11274613,5024498,504078,499778,16299111,24873,0
2025-10-30,wheat,metric tons,301933,11576546,5227980,533414,505415,16804526,35323,10450
2025-11-06,wheat,metric tons,285452,11861998,5405006,508555,462478,17267004,35323,0
2025-11-13,wheat,metric tons,248937,12110935,6006487,950460,850418,18117422,35323,0
2025-11-20,wheat,metric tons,445540,12556475,5922662,381073,361715,18479137,42823,7500
2025-11-27,wheat,metric tons,361464,12917939,6021853,479948,460655,18939792,42823,0
2025-12-04,wheat,metric tons,428501,13346440,5974884,513453,381532,19321324,46823,4000
2025-12-11,wheat,metric tons,491025,13837465,5916468,449696,432609,19753933,55823,9000
2025-12-18,wheat,metric tons,627412,14464877,5436890,545966,147834,19901767,102273,46450
2025-10-02,soybean meal,metric tons,98875,98875,4694221,963987,338220,4793096,2891,2380
2025-10-09,soybean meal,metric tons,204174,303049,4848453,375002,358406,5151502,0,-2891
2025-10-16,soybean meal,metric tons,380384,683433,5011188,837501,543119,5694621,0,0
2025-10-23,soybean meal,metric tons,319696,1003129,5331513,706782,640021,6334642,0,0
2025-10-30,soybean meal,metric tons,238674,1241803,5312669,520313,219830,6554472,0,0
2025-11-06,soybean meal,metric tons,216158,1457961,5189994,108281,93483,6647955,0,0
2025-11-13,soybean meal,metric tons,415841,1873802,5132014,377723,357861,7005816,0,0
2025-11-20,soybean meal,metric tons,336712,2210514,4946253,195606,150951,7156767,488,488
2025-11-27,soybean meal,metric tons,367437,2577951,5014862,487579,436046,7592813,488,0
2025-12-04,soybean meal,metric tons,293421,2871372,4996928,340666,275487,7868300,488,0
2025-12-11,soybean meal,metric tons,335939,3207311,5277442,662236,616453,8484753,10921,10433
2025-12-18,soybean meal,metric tons,394613,3601924,5181960,402794,299131,8783884,12466,1545
2025-10-02,soybean oil,metric tons,1645,1645,109199,50286,13925,110844,11474,11383
2025-10-09,soybean oil,metric tons,2197,3842,108926,4575,1924,112768,11474,0
2025-10-16,soybean oil,metric tons,2251,6093,125808,29923,19133,131901,11474,-10500
2025-10-23,soybean oil,metric tons,10711,16804,144917,30101,29820,161721,11474,0
2025-10-30,soybean oil,metric tons,12585,29389,136996,13771,4664,166385,11474,0
2025-11-06,soybean oil,metric tons,3962,33351,145583,19549,12549,178934,11474,0
2025-11-13,soybean oil,metric tons,4485,37836,127753,5855,-13345,165589,34974,23500
2025-11-20,soybean oil,metric tons,2724,40560,132569,7642,7540,173129,27486,-7488
2025-11-27,soybean oil,metric tons,19622,60182,138463,27300,25516,198645,27486,0
2025-12-04,soybean oil,metric tons,21015,81197,118661,1513,1213,199858,27486,0
2025-12-11,soybean oil,metric tons,14972,96169,112349,21343,8660,208518,27486,0
2025-12-18,soybean oil,metric tons,16032,112201,145514,53197,49197,257715,3986,-23500
2025-09-04,soybeans,metric tons,233579,233579,9120639,1495704,541033,9354218,0,0
2025-09-11,soybeans,metric tons,768037,1001616,9206535,998903,853933,10208151,2284,2284
2025-09-18,soybeans,metric tons,512379,1513995,9418615,727579,724459,10932610,2284,0
2025-09-25,soybeans,metric tons,552952,2066947,9677860,936892,812197,11744807,2284,0
2025-10-02,soybeans,metric tons,720462,2787409,9876845,969800,919447,12664254,7284,5000
2025-10-09,soybeans,metric tons,692822,3480231,9969026,847765,785003,13449257,8684,1400
2025-10-16,soybeans,metric tons,1670875,5151106,9346983,1198982,1048832,14498089,8684,0
2025-10-23,soybeans,metric tons,1388189,6539295,9408591,1544012,1449797,15947886,8684,0
2025-10-30,soybeans,metric tons,1028469,7567764,9628616,1331183,1248494,17196380,8684,0
2025-11-06,soybeans,metric tons,927844,8495608,9211326,580797,510554,17706934,12284,3600
2025-11-13,soybeans,metric tons,1552812,10048420,8354112,812514,695598,18402532,12284,0
2025-11-20,soybeans,metric tons,763473,10811893,9911330,2455404,2320691,20723223,12284,0
2025-11-27,soybeans,metric tons,803522,11615415,10213809,1214788,1106001,21829224,22284,10000
2025-12-04,soybeans,metric tons,1071141,12686556,10694761,1672555,1552093,23381317,22684,400
2025-12-11,soybeans,metric tons,721259,13407815,12369700,2418928,2396198,25777515,51184,28500
2025-12-18,soybeans,metric tons,850870,14013991,12505912,1196293,987082,26519903,46384,-4800
2025-09-04,corn,metric tons,687326,687326,21914139,2013576,539859,22601465,93580,0
2025-09-11,corn,metric tons,1555901,2243227,21589872,1538421,1231634,23833099,93580,0
2025-09-18,corn,metric tons,1315867,3559094,22197450,2010441,1923445,25756544,93580,0
2025-09-25,corn,metric tons,1429180,4988274,22163119,1520712,1394849,27151393,115934,22354
2025-10-02,corn,metric tons,1830620,6818894,22592237,2394197,2259738,29411131,115934,0
2025-10-09,corn,metric tons,1122480,7941374,22796367,1584138,1326610,30737741,115934,0
2025-10-16,corn,metric tons,1410130,9351504,24208799,3149270,2822562,33560303,687436,571502
2025-10-23,corn,metric tons,1332502,10684006,24681556,2243536,1805259,35365562,847494,160058
2025-10-30,corn,metric tons,1540714,12224720,25135810,2362614,1994968,37360530,824632,-22862
2025-11-06,corn,metric tons,1528644,13753364,24586691,1162702,979525,38340055,824632,0
2025-11-13,corn,metric tons,2476796,16230160,24490301,2592742,2380406,40720461,824632,0
2025-11-20,corn,metric tons,1531636,17761796,24801828,1935984,1843163,42563624,824632,0
2025-11-27,corn,metric tons,1897585,19659381,24696440,2050461,1792197,44355821,829712,5080
2025-12-04,corn,metric tons,1754202,21413583,24421091,1596124,1478853,45834674,829752,40
2025-12-11,corn,metric tons,1445610,22859193,24719613,1848426,1744132,47578806,829752,0
2025-12-18,corn,metric tons,1758657,24617850,25163243,2579223,2202287,49781093,851157,21405
